Time_ps,Z_surface_A
0.097,33.6391671575
0.0975,33.6391671575
0.098,33.6391671575
0.0985,33.6391671575
0.099,33.6391671575
0.0995,33.6391671575
0.1,33.6391671575
0.1005,25.667800532499996
0.101,25.667800532499996
0.1015,25.667800532499996
0.102,25.667800532499996
0.1025,25.9866551975
0.103,25.9866551975
0.1035,25.9866551975
0.104,25.9866551975
0.1045,25.9866551975
0.105,25.9866551975
0.1055,25.9866551975
0.106,25.9866551975
0.1065,25.9866551975
0.107,25.9866551975
0.1075,25.9866551975
0.108,33.6391671575
0.1085,33.6391671575
0.109,33.6391671575
0.1095,33.6391671575
0.11,33.320312492499994
0.1105,33.6391671575
0.111,33.6391671575
0.1115,33.6391671575
0.112,33.6391671575
0.1125,33.6391671575
0.113,33.6391671575
0.1135,25.667800532499996
0.114,25.667800532499996
0.1145,25.667800532499996
0.115,25.667800532499996
0.1155,25.667800532499996
0.116,25.667800532499996
0.1165,25.667800532499996
0.117,25.667800532499996
0.1175,25.667800532499996
0.118,26.305509862499996
0.1185,26.305509862499996
0.119,26.305509862499996
0.1195,26.305509862499996
0.12,33.0014578275
0.1205,33.320312492499994
0.121,33.320312492499994
0.1215,33.320312492499994
0.122,33.320312492499994
0.1225,33.320312492499994
0.123,33.320312492499994
0.1235,33.320312492499994
0.124,33.320312492499994
0.1245,33.320312492499994
0.125,25.9866551975
0.1255,25.9866551975
0.126,25.9866551975
0.1265,25.9866551975
0.127,33.0014578275
0.1275,33.0014578275
0.128,33.0014578275
0.1285,33.0014578275
0.129,33.0014578275
0.1295,25.667800532499996
0.13,25.667800532499996
0.1305,25.667800532499996
0.131,25.667800532499996
0.1315,25.667800532499996
0.132,33.320312492499994
0.1325,33.320312492499994
0.133,33.320312492499994
0.1335,33.320312492499994
0.134,33.320312492499994
0.1345,33.320312492499994
0.135,25.9866551975
0.1355,25.9866551975
0.136,25.9866551975
0.1365,25.9866551975
0.137,25.9866551975
0.1375,25.9866551975
0.138,25.9866551975
0.1385,25.9866551975
0.139,25.9866551975
0.1395,25.9866551975
0.14,25.9866551975
0.1405,25.9866551975
0.141,25.9866551975
0.1415,33.0014578275
0.142,33.0014578275
0.1425,33.0014578275
0.143,33.0014578275
0.1435,33.320312492499994
0.144,33.320312492499994
0.1445,33.320312492499994
0.145,25.3489458675
0.1455,25.3489458675
