Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
4038,2019.0,1.250156672,320.168518245,-3455.57833898,-3448.452640109
4039,2019.5,1.236943299,316.78453743,-3455.56232724,-3448.452250803
4040,2020.0,1.200955214,307.567891309,-3455.538488654,-3448.451411792
4041,2020.5,1.186879343,303.963022388,-3455.517607148,-3448.450701484
4042,2021.0,1.1861799,303.783893116,-3455.509440745,-3448.450303015
4043,2021.5,1.19658548,306.448790397,-3455.519080144,-3448.450344357
4044,2022.0,1.229502633,314.878962604,-3455.544848487,-3448.450876692
4045,2022.5,1.26015928,322.730213275,-3455.577526021,-3448.451928734
4046,2023.0,1.279394191,327.656326298,-3455.600766844,-3448.453507931
4047,2023.5,1.268638365,324.901729905,-3455.593332254,-3448.45476506
4048,2024.0,1.222988124,313.210579275,-3455.547055175,-3448.451977897
4049,2024.5,1.192378623,305.371402903,-3455.514759743,-3448.446822334
4050,2025.0,1.235461128,316.404949502,-3455.561120972,-3448.451560078
4051,2025.5,1.301262946,333.256973702,-3455.627118647,-3448.454945279
4052,2026.0,1.338982106,342.916953063,-3455.652577692,-3448.45409619
4053,2026.5,1.328870826,340.327426847,-3455.63931165,-3448.452380105
4054,2027.0,1.295452156,331.768814606,-3455.609912581,-3448.45107898
4055,2027.5,1.269619399,325.152975407,-3455.583928297,-3448.450392163
4056,2028.0,1.261560929,323.089179261,-3455.572364449,-3448.450277708
4057,2028.5,1.262142689,323.238169751,-3455.577813797,-3448.450621936
4058,2029.0,1.276159583,326.827934251,-3455.595971692,-3448.451257336
4059,2029.5,1.301679309,333.363605526,-3455.618191757,-3448.451988779
4060,2030.0,1.311809284,335.957919501,-3455.634430623,-3448.452550042
4061,2030.5,1.311933376,335.989699859,-3455.638106507,-3448.452535931
4062,2031.0,1.304784427,334.158834547,-3455.631353768,-3448.452245562
4063,2031.5,1.293287702,331.21449214,-3455.619295426,-3448.452918267
4064,2032.0,1.271162277,325.548110616,-3455.59580925,-3448.453782773
4065,2032.5,1.234623661,316.190471799,-3455.555456819,-3448.452275212
4066,2033.0,1.205731358,308.791074754,-3455.527834848,-3448.44893026
4067,2033.5,1.230275497,315.076895346,-3455.555066493,-3448.451877494
4068,2034.0,1.269811364,325.202138286,-3455.596520304,-3448.454507376
4069,2034.5,1.276097745,326.812097466,-3455.604348805,-3448.453290868
4070,2035.0,1.261874677,323.169531024,-3455.585393153,-3448.452010094
4071,2035.5,1.229114597,314.779585707,-3455.556510554,-3448.451271978
4072,2036.0,1.2024064,307.939543887,-3455.528535137,-3448.450838112
4073,2036.5,1.181657747,302.625757424,-3455.508251711,-3448.450600431
4074,2037.0,1.17450324,300.793468869,-3455.499796275,-3448.450584985
4075,2037.5,1.177139995,301.468748957,-3455.504068999,-3448.450790747
4076,2038.0,1.189480379,304.629154872,-3455.518658157,-3448.451129548
4077,2038.5,1.206113596,308.888966784,-3455.539344591,-3448.451482609
4078,2039.0,1.221716045,312.884796455,-3455.561856248,-3448.451805464
4079,2039.5,1.243907103,318.567986583,-3455.582298978,-3448.452103723
4080,2040.0,1.259215462,322.488498951,-3455.597796201,-3448.452413166
4081,2040.5,1.267633161,324.644294586,-3455.606458376,-3448.452608913
4082,2041.0,1.264577738,323.861792315,-3455.608013027,-3448.453255499
4083,2041.5,1.257564967,322.065802743,-3455.597807261,-3448.452659183
4084,2042.0,1.247540666,319.498552024,-3455.589774533,-3448.450952672
4085,2042.5,1.251188716,320.43282757,-3455.598683254,-3448.453283042
4086,2043.0,1.247364234,319.453367192,-3455.593268443,-3448.452400521
