frame_idx,time_fs,time_ps,total_persistence_H0,total_persistence_H1,n_features_H0,n_features_H1,mean_lifetime_H0,mean_lifetime_H1
32,16.0,0.016,427.1051019068322,48.31996553702186,147,65,2.9054768837199467,0.7433840851849518
33,16.5,0.0165,427.0937897657624,48.33114719098675,147,65,2.9053999303793363,0.7435561106305654
34,17.0,0.017,427.08418995339235,48.34132417366494,147,65,2.9053346255332815,0.7437126795948452
35,17.5,0.0175,427.07725052681803,48.352114713991284,147,64,2.9052874185497823,0.7555017924061138
36,18.0,0.018,427.07126714404774,48.368166463108295,147,65,2.905246715265631,0.7441256378939738
37,18.5,0.0185,427.0674098345656,48.3870969968033,147,65,2.9052204750650716,0.744416876873897
38,19.0,0.019,427.0627501189081,48.40244367677653,147,65,2.905188776319103,0.7446529796427157
39,19.5,0.0195,427.05518412959276,48.41733968142439,147,65,2.9051373070040323,0.7448821489449907
40,20.0,0.02,427.046824778079,48.43926670036304,147,66,2.905080440667204,0.733928283338834
41,20.5,0.0205,427.0367741243081,48.470972334984125,147,67,2.9050120688728445,0.7234473482833451
42,21.0,0.021,427.0215694919839,48.50244770297813,147,67,2.9049086359998904,0.7239171298951961
43,21.5,0.0215,426.9950272074833,48.5253736214213,147,67,2.904728076241383,0.7242593077824075
44,22.0,0.022,426.96521020617314,48.54469615931218,147,67,2.9045252394977767,0.7245477038703311
45,22.5,0.0225,426.9386971527081,48.56410221869258,147,67,2.9043448785898507,0.7248373465476506
46,23.0,0.023,426.9175622431384,48.58264092098223,147,67,2.904201103694819,0.7251140435967498
47,23.5,0.0235,426.89866229363764,48.5907760590341,147,67,2.9040725326097796,0.7252354635676731
48,24.0,0.024,426.87865575639086,48.590546850816004,147,67,2.9039364337169444,0.7252320425494926
49,24.5,0.0245,426.85682508843905,48.58290581126049,147,67,2.903787925771694,0.7251179971829924
50,25.0,0.025,426.8351549073302,48.57063874054643,147,67,2.903640509573675,0.7249349065753199
51,25.5,0.0255,426.81696330981293,48.55534196263769,147,67,2.903516757209611,0.7247065964572789
52,26.0,0.026,426.80216297814417,48.53975404375518,147,67,2.9034160746812523,0.7244739409515699
53,26.5,0.0265,426.79081848923505,48.5263134299205,147,67,2.9033389012873134,0.7242733347749327
54,27.0,0.027,426.7829519098502,48.516563790422474,147,67,2.9032853871418385,0.7241278177674995
55,27.5,0.0275,426.77846924579876,48.511613439333175,147,67,2.903254892828563,0.724053931930346
56,28.0,0.028,426.77821889321996,48.51324623659487,147,67,2.9032531897497953,0.7240783020387292
57,28.5,0.0285,426.78111667427663,48.52052181597633,147,67,2.9032729025460995,0.7241868927757662
58,29.0,0.029,426.78493377887685,48.531171029006366,147,67,2.9032988692440607,0.7243458362538262
59,29.5,0.0295,426.7881617561228,48.54528570003367,147,67,2.9033208282729444,0.7245565029855772
60,30.0,0.03,426.79093467630196,48.565364425241704,147,67,2.9033396916755234,0.7248561854513689
61,30.5,0.0305,426.7924504401883,48.587994937735566,147,67,2.903350002994478,0.7251939542945607
62,31.0,0.031,426.7922471011775,48.61161195596822,147,67,2.9033486197359015,0.7255464471040033
63,31.5,0.0315,426.79080160284417,48.63812619070579,147,67,2.9033387864139057,0.7259421819508328
64,32.0,0.032,426.7895523042495,48.67186730731953,147,68,2.9033302877840104,0.7157627545194051
