Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
56,28.0,1.724594815,442.21138485,-3465.676702489,-3463.535070126
57,28.5,1.729202943,443.392976373,-3465.688613001,-3463.534958405
58,29.0,1.73523599,444.939938109,-3465.700862747,-3463.535015052
59,29.5,1.748094598,448.237073604,-3465.71373026,-3463.535596066
60,30.0,1.755411982,450.113358217,-3465.722051503,-3463.53624532
61,30.5,1.757715056,450.703899946,-3465.727992178,-3463.535083831
62,31.0,1.77628271,455.464918695,-3465.751011809,-3463.537055014
63,31.5,1.790176974,459.027611468,-3465.774587289,-3463.536720103
64,32.0,1.830255209,469.304258334,-3465.823422225,-3463.532214527
65,32.5,1.9176442,491.712076353,-3465.930948619,-3463.539979299
66,33.0,1.980265842,507.769183156,-3465.999444678,-3463.538135962
67,33.5,2.007101407,514.650215222,-3466.030711185,-3463.53574304
68,34.0,2.013919577,516.398494012,-3466.052504011,-3463.535698614
69,34.5,2.033695833,521.469415789,-3466.069007575,-3463.53593532
70,35.0,2.039082972,522.850757108,-3466.075296835,-3463.535937292
71,35.5,2.030539965,520.660204975,-3466.078642616,-3463.533786421
72,36.0,2.065187936,529.544452466,-3466.116293219,-3463.533312519
73,36.5,2.125154464,544.920749293,-3466.196857254,-3463.540378023
74,37.0,2.162001812,554.368949202,-3466.233498268,-3463.546553173
75,37.5,2.111308582,541.370462176,-3466.183517133,-3463.526635921
76,38.0,2.190520341,561.681518045,-3466.285418014,-3463.543895706
77,38.5,2.268443173,581.66207403,-3466.390918259,-3463.550421139
78,39.0,2.212029932,567.19689236,-3466.347427786,-3463.547714338
79,39.5,2.096901102,537.676173222,-3466.223114754,-3463.527374785
80,40.0,2.103660488,539.409378704,-3466.265754863,-3463.544727967
81,40.5,2.136433175,547.812776021,-3466.318793919,-3463.547386955
82,41.0,2.098364918,538.051516977,-3466.280220813,-3463.541718012
83,41.5,2.047260188,524.947515186,-3466.222513875,-3463.536692965
84,42.0,2.022254112,518.535590936,-3466.213358044,-3463.538825252
85,42.5,2.018987736,517.698044167,-3466.226354182,-3463.542875932
86,43.0,1.992952431,511.02221049,-3466.20322674,-3463.542534694
87,43.5,1.92023619,492.376700519,-3466.141417319,-3463.541105299
88,44.0,1.841601317,472.213566732,-3466.064604763,-3463.541781052
89,44.5,1.771748834,454.302366467,-3465.994811337,-3463.536834283
90,45.0,1.783069586,457.205173195,-3466.005125696,-3463.538940461
91,45.5,1.830170959,469.282655454,-3466.068121059,-3463.544335292
92,46.0,1.873114674,480.294053393,-3466.098335399,-3463.542617497
