Time_ps,Z_GDS_A
2.0765,24.0735272075
2.077,24.0735272075
2.0775,24.0735272075
2.078,24.0735272075
2.0785,24.0735272075
2.079,24.0735272075
2.0795,24.0735272075
2.08,24.0735272075
2.0805,24.0735272075
2.081,24.0735272075
2.0815,24.0735272075
2.082,24.0735272075
2.0825,24.0735272075
2.083,24.0735272075
2.0835,24.0735272075
2.084,24.0735272075
2.0845,24.0735272075
2.085,24.0735272075
2.0855,24.0735272075
2.086,24.0735272075
2.0865,24.0735272075
2.087,24.0735272075
2.0875,24.0735272075
2.088,24.0735272075
2.0885,24.0735272075
2.089,24.0735272075
2.0895,24.0735272075
2.09,24.0735272075
2.0905,24.0735272075
2.091,24.0735272075
2.0915,24.0735272075
2.092,24.0735272075
2.0925,24.0735272075
2.093,24.0735272075
2.0935,24.0735272075
2.094,24.0735272075
2.0945,24.0735272075
2.095,24.0735272075
2.0955,24.0735272075
2.096,24.0735272075
2.0965,24.0735272075
2.097,24.0735272075
2.0975,24.0735272075
2.098,24.0735272075
2.0985,24.0735272075
2.099,24.0735272075
2.0995,24.0735272075
2.1,24.0735272075
2.1005,24.0735272075
2.101,24.0735272075
2.1015,24.0735272075
2.102,24.0735272075
2.1025,24.0735272075
2.103,24.0735272075
2.1035,24.0735272075
2.104,24.0735272075
2.1045,24.0735272075
2.105,24.0735272075
2.1055,24.0735272075
2.106,24.0735272075
2.1065,24.0735272075
2.107,24.0735272075
2.1075,24.0735272075
2.108,24.0735272075
2.1085,24.0735272075
2.109,24.0735272075
2.1095,24.0735272075
2.11,24.0735272075
2.1105,24.0735272075
2.111,24.0735272075
2.1115,24.0735272075
2.112,24.0735272075
2.1125,24.0735272075
2.113,24.0735272075
2.1135,24.0735272075
2.114,24.0735272075
2.1145,24.0735272075
2.115,24.0735272075
2.1155,24.0735272075
2.116,24.0735272075
2.1165,24.0735272075
2.117,24.0735272075
2.1175,24.0735272075
2.118,24.0735272075
2.1185,24.0735272075
2.119,24.0735272075
2.1195,24.0735272075
2.12,24.0735272075
2.1205,24.0735272075
2.121,24.0735272075
2.1215,24.0735272075
2.122,24.0735272075
2.1225,24.0735272075
2.123,24.0735272075
2.1235,24.0735272075
2.124,24.0735272075
2.1245,24.0735272075
2.125,24.0735272075
2.1255,24.0735272075
2.126,24.0735272075
2.1265,24.0735272075
2.127,24.0735272075
2.1275,24.0735272075
2.128,24.0735272075
2.1285,24.0735272075
2.129,24.0735272075
2.1295,24.0735272075
2.13,24.0735272075
2.1305,24.0735272075
2.131,24.0735272075
2.1315,24.0735272075
2.132,24.0735272075
2.1325,24.0735272075
2.133,24.0735272075
2.1335,24.0735272075
2.134,24.0735272075
2.1345,24.0735272075
2.135,24.0735272075
2.1355,24.0735272075
2.136,24.0735272075
2.1365,24.0735272075
2.137,24.0735272075
2.1375,24.0735272075
2.138,24.0735272075
2.1385,24.0735272075
2.139,24.0735272075
2.1395,24.0735272075
2.14,24.0735272075
2.1405,24.0735272075
2.141,24.0735272075
2.1415,24.0735272075
2.142,24.0735272075
2.1425,24.0735272075
2.143,24.0735272075
2.1435,24.0735272075
2.144,24.0735272075
2.1445,24.0735272075
2.145,24.0735272075
2.1455,24.0735272075
2.146,24.0735272075
2.1465,24.0735272075
2.147,24.0735272075
2.1475,24.0735272075
2.148,24.0735272075
2.1485,24.0735272075
2.149,24.0735272075
2.1495,24.0735272075
2.15,24.0735272075
2.1505,24.0735272075
2.151,24.0735272075
2.1515,24.0735272075
2.152,24.0735272075
2.1525,24.0735272075
2.153,24.0735272075
2.1535,24.0735272075
2.154,24.0735272075
2.1545,24.0735272075
2.155,24.0735272075
2.1555,24.0735272075
2.156,24.0735272075
2.1565,24.0735272075
2.157,24.0735272075
2.1575,24.0735272075
2.158,24.0735272075
2.1585,24.0735272075
2.159,24.0735272075
2.1595,24.0735272075
2.16,24.0735272075
2.1605,24.0735272075
2.161,24.0735272075
2.1615,24.0735272075
2.162,24.0735272075
2.1625,24.0735272075
2.163,24.0735272075
2.1635,24.0735272075
2.164,24.0735272075
2.1645,24.0735272075
2.165,24.0735272075
2.1655,24.0735272075
2.166,24.0735272075
2.1665,24.0735272075
2.167,24.0735272075
2.1675,24.0735272075
2.168,24.0735272075
2.1685,24.0735272075
2.169,24.0735272075
2.1695,24.0735272075
2.17,24.0735272075
2.1705,24.0735272075
2.171,24.0735272075
2.1715,24.0735272075
2.172,24.0735272075
2.1725,24.0735272075
2.173,24.0735272075
2.1735,24.0735272075
2.174,24.0735272075
2.1745,24.0735272075
2.175,24.0735272075
2.1755,24.0735272075
2.176,24.0735272075
2.1765,24.0735272075
2.177,24.0735272075
2.1775,24.0735272075
2.178,24.0735272075
2.1785,24.0735272075
2.179,24.0735272075
2.1795,24.0735272075
2.18,24.0735272075
2.1805,24.0735272075
2.181,24.0735272075
2.1815,24.0735272075
2.182,24.0735272075
2.1825,24.0735272075
2.183,24.0735272075
2.1835,24.0735272075
2.184,24.0735272075
2.1845,24.0735272075
2.185,24.0735272075
2.1855,24.0735272075
2.186,24.0735272075
2.1865,24.0735272075
2.187,24.0735272075
2.1875,24.0735272075
2.188,24.0735272075
2.1885,24.0735272075
2.189,24.0735272075
2.1895,24.0735272075
2.19,24.0735272075
2.1905,24.0735272075
2.191,24.0735272075
2.1915,24.0735272075
2.192,24.0735272075
2.1925,24.0735272075
2.193,24.0735272075
2.1935,24.0735272075
2.194,24.0735272075
2.1945,24.0735272075
2.195,24.0735272075
2.1955,24.0735272075
2.196,24.0735272075
2.1965,24.0735272075
2.197,24.0735272075
2.1975,24.0735272075
2.198,24.0735272075
2.1985,24.0735272075
2.199,24.0735272075
2.1995,24.0735272075
2.2,24.0735272075
2.2005,24.0735272075
2.201,24.0735272075
2.2015,24.0735272075
2.202,24.0735272075
2.2025,24.0735272075
2.203,24.0735272075
2.2035,24.0735272075
2.204,24.0735272075
2.2045,24.0735272075
2.205,24.0735272075
2.2055,24.0735272075
2.206,24.0735272075
2.2065,24.0735272075
2.207,24.0735272075
2.2075,24.0735272075
2.208,24.0735272075
2.2085,24.0735272075
2.209,24.0735272075
2.2095,24.0735272075
2.21,24.0735272075
2.2105,24.0735272075
2.211,24.0735272075
2.2115,24.0735272075
2.212,24.0735272075
2.2125,24.0735272075
2.213,24.0735272075
2.2135,24.0735272075
2.214,24.0735272075
2.2145,24.0735272075
2.215,24.0735272075
2.2155,24.0735272075
2.216,24.0735272075
2.2165,24.0735272075
2.217,24.0735272075
2.2175,24.0735272075
2.218,24.0735272075
2.2185,24.0735272075
2.219,24.0735272075
2.2195,24.0735272075
2.22,24.0735272075
2.2205,24.0735272075
2.221,24.0735272075
2.2215,24.0735272075
2.222,24.0735272075
2.2225,24.0735272075
2.223,24.0735272075
2.2235,24.0735272075
2.224,24.0735272075
2.2245,24.0735272075
2.225,24.0735272075
2.2255,24.0735272075
2.226,24.0735272075
2.2265,24.0735272075
2.227,24.0735272075
2.2275,24.0735272075
2.228,24.0735272075
2.2285,24.0735272075
2.229,24.0735272075
2.2295,24.0735272075
2.23,24.0735272075
2.2305,24.0735272075
2.231,24.0735272075
2.2315,24.0735272075
2.232,24.0735272075
2.2325,24.0735272075
2.233,24.0735272075
2.2335,24.0735272075
2.234,24.0735272075
2.2345,24.0735272075
2.235,24.0735272075
2.2355,24.0735272075
2.236,24.0735272075
2.2365,24.0735272075
2.237,24.0735272075
2.2375,24.0735272075
2.238,24.0735272075
2.2385,24.0735272075
2.239,24.0735272075
2.2395,24.0735272075
2.24,24.0735272075
2.2405,24.0735272075
2.241,24.0735272075
2.2415,24.0735272075
2.242,24.0735272075
2.2425,24.0735272075
2.243,24.0735272075
2.2435,24.0735272075
2.244,24.0735272075
2.2445,24.0735272075
2.245,24.0735272075
2.2455,24.0735272075
2.246,24.0735272075
2.2465,24.0735272075
2.247,24.0735272075
2.2475,24.0735272075
2.248,24.0735272075
2.2485,24.0735272075
2.249,24.0735272075
2.2495,24.0735272075
2.25,24.0735272075
2.2505,24.0735272075
2.251,24.0735272075
2.2515,24.0735272075
2.252,24.0735272075
2.2525,24.0735272075
2.253,24.0735272075
2.2535,24.0735272075
2.254,24.0735272075
2.2545,24.0735272075
2.255,24.0735272075
2.2555,24.0735272075
2.256,24.0735272075
2.2565,24.0735272075
2.257,24.0735272075
2.2575,24.0735272075
2.258,24.0735272075
2.2585,24.0735272075
2.259,24.0735272075
2.2595,24.0735272075
2.26,24.0735272075
2.2605,24.0735272075
2.261,24.0735272075
2.2615,24.0735272075
2.262,24.0735272075
2.2625,24.0735272075
2.263,24.0735272075
2.2635,24.0735272075
2.264,24.0735272075
2.2645,24.0735272075
2.265,24.0735272075
2.2655,24.0735272075
2.266,24.0735272075
2.2665,24.0735272075
2.267,24.0735272075
2.2675,24.0735272075
2.268,24.0735272075
2.2685,24.392381872499996
2.269,24.392381872499996
2.2695,24.392381872499996
2.27,24.0735272075
2.2705,24.0735272075
2.271,24.0735272075
2.2715,24.0735272075
2.272,24.0735272075
2.2725,24.0735272075
2.273,24.0735272075
2.2735,24.0735272075
2.274,24.0735272075
2.2745,24.0735272075
2.275,24.0735272075
2.2755,24.0735272075
2.276,24.0735272075
2.2765,24.0735272075
2.277,24.0735272075
2.2775,24.0735272075
2.278,24.0735272075
2.2785,24.0735272075
2.279,24.0735272075
2.2795,24.0735272075
2.28,24.0735272075
2.2805,24.0735272075
2.281,24.0735272075
2.2815,24.0735272075
2.282,24.0735272075
2.2825,24.0735272075
2.283,24.0735272075
2.2835,24.0735272075
2.284,24.0735272075
2.2845,24.0735272075
2.285,24.0735272075
2.2855,24.0735272075
2.286,24.0735272075
2.2865,24.0735272075
2.287,24.0735272075
2.2875,24.0735272075
2.288,24.0735272075
2.2885,24.0735272075
2.289,24.0735272075
2.2895,24.0735272075
2.29,24.0735272075
2.2905,24.0735272075
2.291,24.0735272075
2.2915,24.0735272075
2.292,24.0735272075
2.2925,24.0735272075
2.293,24.0735272075
2.2935,24.0735272075
2.294,24.0735272075
2.2945,24.0735272075
