frame,step,time_fs,(H2O)2,*OH,H*,H2,H2O,H2O2,H3O+,H3O2-,H5O2,HO2*,O*,O2
4161,4161,2080.5,0,2,3,8,95,1,1,0,0,0,0,1
4162,4162,2081.0,0,2,4,8,95,1,1,0,0,0,0,1
4163,4163,2081.5,0,2,4,8,95,1,1,0,0,0,0,1
4164,4164,2082.0,0,2,4,8,95,1,1,0,0,0,0,1
4165,4165,2082.5,0,2,2,8,95,1,1,0,0,0,0,1
4166,4166,2083.0,0,2,3,8,95,1,1,0,0,0,0,1
4167,4167,2083.5,0,2,1,8,95,1,1,0,0,0,0,1
4168,4168,2084.0,0,2,1,8,95,1,1,0,0,0,0,1
4169,4169,2084.5,0,2,1,8,95,1,1,0,0,0,0,1
4170,4170,2085.0,0,2,1,8,95,1,1,0,0,0,0,1
4171,4171,2085.5,0,2,1,8,95,1,1,0,0,0,0,1
4172,4172,2086.0,0,1,2,8,94,1,1,1,0,0,0,1
4173,4173,2086.5,0,1,3,8,94,1,1,1,0,0,0,1
4174,4174,2087.0,0,1,3,8,94,1,1,1,0,0,0,1
4175,4175,2087.5,0,1,3,8,94,1,1,1,0,0,0,1
4176,4176,2088.0,0,1,4,8,94,1,1,1,0,0,0,1
4177,4177,2088.5,0,1,4,8,94,1,1,1,0,0,0,1
4178,4178,2089.0,0,2,3,8,95,1,1,0,0,0,0,1
4179,4179,2089.5,0,2,1,8,95,1,1,0,0,0,0,1
4180,4180,2090.0,0,2,2,8,95,1,1,0,0,0,0,1
4181,4181,2090.5,0,2,2,8,95,1,1,0,0,0,0,1
4182,4182,2091.0,0,2,2,8,95,1,1,0,0,0,0,1
4183,4183,2091.5,0,2,2,8,95,1,1,0,0,0,0,1
4184,4184,2092.0,0,2,3,8,95,1,1,0,0,0,0,1
4185,4185,2092.5,0,2,3,8,95,1,1,0,0,0,0,1
4186,4186,2093.0,0,2,3,8,95,1,1,0,0,0,0,1
4187,4187,2093.5,0,2,2,8,95,1,1,0,0,0,0,1
4188,4188,2094.0,0,2,3,8,95,1,1,0,0,0,0,1
4189,4189,2094.5,0,2,2,8,95,1,1,0,0,0,0,1
4190,4190,2095.0,0,2,2,8,95,1,1,0,0,0,0,1
4191,4191,2095.5,0,2,2,8,95,1,1,0,0,0,0,1
4192,4192,2096.0,0,2,2,8,95,1,1,0,0,0,0,1
4193,4193,2096.5,0,2,2,8,95,1,1,0,0,0,0,1
4194,4194,2097.0,0,2,2,8,95,1,1,0,0,0,0,1
4195,4195,2097.5,0,2,2,8,95,1,1,0,0,0,0,1
4196,4196,2098.0,0,4,2,8,95,0,1,0,0,0,0,1
4197,4197,2098.5,0,4,3,8,95,0,1,0,0,0,0,1
4198,4198,2099.0,0,4,3,8,95,0,1,0,0,0,0,1
4199,4199,2099.5,0,4,3,8,95,0,1,0,0,0,0,1
4200,4200,2100.0,0,4,3,8,95,0,1,0,0,0,0,1
4201,4201,2100.5,0,4,3,8,95,0,1,0,0,0,0,1
4202,4202,2101.0,0,4,1,8,95,0,1,0,0,0,0,1
4203,4203,2101.5,0,4,1,8,95,0,1,0,0,0,0,1
4204,4204,2102.0,0,4,4,8,95,0,1,0,0,0,0,1
4205,4205,2102.5,0,4,5,8,95,0,1,0,0,0,0,1
4206,4206,2103.0,0,4,5,8,95,0,1,0,0,0,0,1
4207,4207,2103.5,0,4,5,8,95,0,1,0,0,0,0,1
4208,4208,2104.0,0,4,4,8,95,0,1,0,0,0,0,1
4209,4209,2104.5,0,4,5,8,95,0,1,0,0,0,0,1
4210,4210,2105.0,0,4,3,8,95,0,1,0,0,0,0,1
4211,4211,2105.5,0,4,2,8,95,0,1,0,0,0,0,1
4212,4212,2106.0,0,4,1,8,95,0,1,0,0,0,0,1
4213,4213,2106.5,0,4,1,8,95,0,1,0,0,0,0,1
4214,4214,2107.0,0,4,1,8,95,0,1,0,0,0,0,1
4215,4215,2107.5,0,4,1,8,95,0,1,0,0,0,0,1
4216,4216,2108.0,0,4,1,8,95,0,1,0,0,0,0,1
4217,4217,2108.5,0,4,1,8,95,0,1,0,0,0,0,1
4218,4218,2109.0,0,4,1,8,95,0,1,0,0,0,0,1
4219,4219,2109.5,0,4,1,8,95,0,1,0,0,0,0,1
4220,4220,2110.0,0,4,2,8,95,0,1,0,0,0,0,1
4221,4221,2110.5,0,4,2,8,95,0,1,0,0,0,0,1
4222,4222,2111.0,0,4,3,8,95,0,1,0,0,0,0,1
4223,4223,2111.5,0,4,3,8,95,0,1,0,0,0,0,1
4224,4224,2112.0,0,4,3,8,95,0,1,0,0,0,0,1
4225,4225,2112.5,0,4,2,8,95,0,1,0,0,0,0,1
4226,4226,2113.0,0,4,3,8,95,0,1,0,0,0,0,1
4227,4227,2113.5,0,2,4,8,95,1,1,0,0,0,0,1
4228,4228,2114.0,0,2,4,8,95,1,1,0,0,0,0,1
4229,4229,2114.5,0,2,4,8,95,1,1,0,0,0,0,1
4230,4230,2115.0,0,2,5,8,95,1,1,0,0,0,0,1
4231,4231,2115.5,0,2,4,8,95,1,1,0,0,0,0,1
4232,4232,2116.0,0,2,3,8,95,1,1,0,0,0,0,1
4233,4233,2116.5,0,2,2,8,95,1,1,0,0,0,0,1
4234,4234,2117.0,0,2,2,8,95,1,1,0,0,0,0,1
4235,4235,2117.5,0,2,2,8,95,1,1,0,0,0,0,1
4236,4236,2118.0,0,2,3,8,95,1,1,0,0,0,0,1
4237,4237,2118.5,0,2,3,8,95,1,1,0,0,0,0,1
4238,4238,2119.0,0,2,3,8,95,1,1,0,0,0,0,1
4239,4239,2119.5,0,2,2,8,95,1,1,0,0,0,0,1
4240,4240,2120.0,0,2,2,8,95,1,1,0,0,0,0,1
4241,4241,2120.5,0,2,2,8,95,1,1,0,0,0,0,1
4242,4242,2121.0,0,2,2,8,95,1,1,0,0,0,0,1
4243,4243,2121.5,0,2,2,8,95,1,1,0,0,0,0,1
4244,4244,2122.0,0,2,1,8,95,1,1,0,0,0,0,1
4245,4245,2122.5,0,2,2,8,95,1,1,0,0,0,0,1
4246,4246,2123.0,0,2,2,8,95,1,1,0,0,0,0,1
4247,4247,2123.5,0,2,2,8,95,1,1,0,0,0,0,1
4248,4248,2124.0,0,2,2,8,95,1,1,0,0,0,0,1
4249,4249,2124.5,0,2,2,8,95,1,1,0,0,0,0,1
4250,4250,2125.0,0,2,3,8,95,1,1,0,0,0,0,1
4251,4251,2125.5,0,2,4,8,95,1,1,0,0,0,0,1
4252,4252,2126.0,0,3,4,8,94,1,1,0,0,0,0,1
4253,4253,2126.5,0,3,4,8,94,1,1,0,0,0,0,1
4254,4254,2127.0,0,3,4,8,94,1,1,0,0,0,0,1
4255,4255,2127.5,0,3,3,8,94,1,1,0,0,0,0,1
4256,4256,2128.0,0,3,2,8,94,1,1,0,0,0,0,1
4257,4257,2128.5,0,3,3,8,94,1,1,0,0,0,0,1
4258,4258,2129.0,0,3,3,8,94,1,1,0,0,0,0,1
4259,4259,2129.5,0,3,3,8,94,1,1,0,0,0,0,1
4260,4260,2130.0,0,2,2,8,95,1,1,0,0,0,0,1
4261,4261,2130.5,0,2,2,8,95,1,1,0,0,0,0,1
4262,4262,2131.0,0,2,2,8,95,1,1,0,0,0,0,1
4263,4263,2131.5,0,2,2,8,95,1,1,0,0,0,0,1
4264,4264,2132.0,0,2,2,8,95,1,1,0,0,0,0,1
4265,4265,2132.5,0,2,3,8,95,1,1,0,0,0,0,1
4266,4266,2133.0,0,2,5,8,95,1,1,0,0,0,0,1
4267,4267,2133.5,0,2,5,8,95,1,1,0,0,0,0,1
4268,4268,2134.0,0,2,5,8,95,1,1,0,0,0,0,1
4269,4269,2134.5,0,2,3,8,95,1,1,0,0,0,0,1
4270,4270,2135.0,0,2,4,8,95,1,1,0,0,0,0,1
4271,4271,2135.5,0,2,4,8,95,1,1,0,0,0,0,1
4272,4272,2136.0,0,4,6,8,95,0,1,0,0,0,0,1
4273,4273,2136.5,0,4,5,8,95,0,1,0,0,0,0,1
4274,4274,2137.0,0,4,4,8,95,0,1,0,0,0,0,1
4275,4275,2137.5,0,4,4,8,95,0,1,0,0,0,0,1
4276,4276,2138.0,0,4,4,8,95,0,1,0,0,0,0,1
4277,4277,2138.5,0,4,2,8,95,0,1,0,0,0,0,1
4278,4278,2139.0,0,4,1,8,95,0,1,0,0,0,0,1
4279,4279,2139.5,0,4,1,8,95,0,1,0,0,0,0,1
4280,4280,2140.0,0,3,1,8,94,0,1,1,0,0,0,1
4281,4281,2140.5,0,3,1,8,94,0,1,1,0,0,0,1
4282,4282,2141.0,0,3,1,8,94,0,1,1,0,0,0,1
4283,4283,2141.5,0,4,1,8,95,0,1,0,0,0,0,1
4284,4284,2142.0,0,4,1,8,95,0,1,0,0,0,0,1
4285,4285,2142.5,0,4,1,8,95,0,1,0,0,0,0,1
4286,4286,2143.0,0,4,1,8,95,0,1,0,0,0,0,1
4287,4287,2143.5,0,4,2,8,95,0,1,0,0,0,0,1
4288,4288,2144.0,0,4,2,8,95,0,1,0,0,0,0,1
4289,4289,2144.5,0,4,2,8,95,0,1,0,0,0,0,1
4290,4290,2145.0,0,4,2,8,95,0,1,0,0,0,0,1
4291,4291,2145.5,0,4,2,8,95,0,1,0,0,0,0,1
4292,4292,2146.0,0,4,3,8,95,0,1,0,0,0,0,1
4293,4293,2146.5,0,4,4,8,95,0,1,0,0,0,0,1
4294,4294,2147.0,0,4,4,8,95,0,1,0,0,0,0,1
4295,4295,2147.5,0,4,4,8,95,0,1,0,0,0,0,1
4296,4296,2148.0,0,4,5,8,95,0,1,0,0,0,0,1
4297,4297,2148.5,0,4,6,8,95,0,1,0,0,0,0,1
4298,4298,2149.0,0,4,6,8,95,0,1,0,0,0,0,1
4299,4299,2149.5,0,4,4,8,95,0,1,0,0,0,0,1
4300,4300,2150.0,0,4,4,8,95,0,1,0,0,0,0,1
4301,4301,2150.5,0,3,3,8,94,0,1,1,0,0,0,1
4302,4302,2151.0,0,3,4,8,94,0,1,1,0,0,0,1
4303,4303,2151.5,0,3,4,8,94,0,1,1,0,0,0,1
4304,4304,2152.0,0,3,3,8,94,0,1,1,0,0,0,1
4305,4305,2152.5,0,4,3,8,95,0,1,0,0,0,0,1
4306,4306,2153.0,0,2,3,8,95,1,1,0,0,0,0,1
4307,4307,2153.5,0,2,3,8,95,1,1,0,0,0,0,1
4308,4308,2154.0,0,2,3,8,95,1,1,0,0,0,0,1
4309,4309,2154.5,0,2,4,8,95,1,1,0,0,0,0,1
4310,4310,2155.0,0,2,3,8,95,1,1,0,0,0,0,1
4311,4311,2155.5,0,2,2,8,95,1,1,0,0,0,0,1
4312,4312,2156.0,0,3,3,8,94,1,1,0,0,0,0,1
4313,4313,2156.5,0,3,3,8,94,1,1,0,0,0,0,1
4314,4314,2157.0,0,3,3,8,94,1,1,0,0,0,0,1
4315,4315,2157.5,0,3,4,8,94,1,1,0,0,0,0,1
4316,4316,2158.0,0,3,4,8,94,1,1,0,0,0,0,1
4317,4317,2158.5,0,3,6,8,95,1,0,0,0,0,0,1
4318,4318,2159.0,0,3,5,8,95,1,0,0,0,0,0,1
4319,4319,2159.5,0,3,5,8,95,1,0,0,0,0,0,1
4320,4320,2160.0,0,3,4,8,94,1,1,0,0,0,0,1
4321,4321,2160.5,0,3,2,8,94,1,1,0,0,0,0,1
