Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
61,30.5,1.797274107,460.847420594,-3466.213516136,-3464.089134788
62,31.0,1.752307009,449.317197525,-3466.162746718,-3464.080709941
63,31.5,1.775407229,455.240432382,-3466.202034215,-3464.087100355
64,32.0,1.828586991,468.876502887,-3466.268466772,-3464.087207185
65,32.5,1.880905833,482.291820669,-3466.333184374,-3464.087484788
66,33.0,1.920618198,492.474652973,-3466.393332967,-3464.100662949
67,33.5,1.940179779,497.490529034,-3466.41897428,-3464.100536268
68,34.0,1.921778026,492.772050024,-3466.417803698,-3464.103671034
69,34.5,1.867148309,478.764189799,-3466.360702308,-3464.105611159
70,35.0,1.777974143,455.898626979,-3466.257600013,-3464.092576746
71,35.5,1.755251549,450.072220781,-3466.268636868,-3464.115379975
72,36.0,1.743193357,446.980323686,-3466.263408851,-3464.121259824
73,36.5,1.645141066,421.838279202,-3466.16146077,-3464.108202601
74,37.0,1.662755823,426.35496095,-3466.170228733,-3464.108641751
75,37.5,1.759831055,451.246473275,-3466.291491561,-3464.11761821
76,38.0,1.822925458,467.424802758,-3466.353371996,-3464.114213694
77,38.5,1.833481578,470.131546589,-3466.379419288,-3464.113645239
78,39.0,1.825395054,468.058043399,-3466.382163715,-3464.113390146
79,39.5,1.807094201,463.365436404,-3466.371085981,-3464.112876639
80,40.0,1.781688458,456.851031574,-3466.360130131,-3464.112537833
81,40.5,1.78282642,457.142821865,-3466.372764183,-3464.110471004
82,41.0,1.841015104,472.063253107,-3466.438355133,-3464.115373127
83,41.5,1.894638872,485.813173037,-3466.493800427,-3464.120233926
84,42.0,1.856425147,476.014613931,-3466.467752538,-3464.120470165
85,42.5,1.770126847,453.886465276,-3466.380073838,-3464.109169016
86,43.0,1.780945003,456.660398941,-3466.395567838,-3464.112583525
87,43.5,1.845337709,473.171632447,-3466.479317091,-3464.121206731
88,44.0,1.860411295,477.036720703,-3466.491273163,-3464.117070817
89,44.5,1.833374124,470.103994016,-3466.466094146,-3464.113582708
90,45.0,1.828690214,468.902970845,-3466.457598279,-3464.112497257
91,45.5,1.837615307,471.191495283,-3466.478637004,-3464.113798069
92,46.0,1.873096807,480.289471857,-3466.505161745,-3464.115831564
