Time_ps,Z_GDS_A
4.8275,20.2472712275
4.828,20.2472712275
4.8285,20.2472712275
4.829,20.2472712275
4.8295,20.2472712275
4.83,20.2472712275
4.8305,20.2472712275
4.831,20.2472712275
4.8315,20.2472712275
4.832,20.2472712275
4.8325,20.2472712275
4.833,20.2472712275
4.8335,20.2472712275
4.834,20.2472712275
4.8345,20.2472712275
4.835,20.2472712275
4.8355,20.2472712275
4.836,20.2472712275
4.8365,20.2472712275
4.837,20.2472712275
4.8375,20.2472712275
4.838,20.2472712275
4.8385,20.2472712275
4.839,20.2472712275
4.8395,20.2472712275
4.84,20.2472712275
4.8405,20.2472712275
4.841,20.2472712275
4.8415,20.2472712275
4.842,20.2472712275
4.8425,20.2472712275
4.843,20.2472712275
4.8435,20.2472712275
4.844,20.2472712275
4.8445,20.2472712275
4.845,20.2472712275
4.8455,20.2472712275
4.846,20.2472712275
4.8465,20.2472712275
4.847,20.2472712275
4.8475,20.2472712275
4.848,20.2472712275
4.8485,20.2472712275
4.849,20.2472712275
4.8495,20.2472712275
4.85,20.2472712275
4.8505,20.2472712275
4.851,20.2472712275
4.8515,20.2472712275
4.852,20.2472712275
4.8525,20.2472712275
4.853,20.2472712275
4.8535,20.2472712275
4.854,20.2472712275
4.8545,20.2472712275
4.855,20.2472712275
4.8555,20.2472712275
4.856,20.2472712275
4.8565,20.2472712275
4.857,20.2472712275
4.8575,20.2472712275
4.858,20.2472712275
4.8585,20.2472712275
4.859,20.2472712275
4.8595,20.2472712275
4.86,20.2472712275
4.8605,20.2472712275
4.861,20.2472712275
4.8615,20.2472712275
4.862,20.2472712275
4.8625,20.2472712275
4.863,26.943219192499996
4.8635,20.2472712275
4.864,20.2472712275
4.8645,20.2472712275
4.865,20.2472712275
4.8655,20.2472712275
4.866,20.2472712275
4.8665,20.2472712275
4.867,20.2472712275
4.8675,20.2472712275
4.868,20.2472712275
4.8685,20.2472712275
4.869,20.2472712275
4.8695,20.2472712275
4.87,20.2472712275
4.8705,20.2472712275
4.871,20.2472712275
4.8715,20.2472712275
4.872,20.2472712275
4.8725,20.2472712275
4.873,20.2472712275
4.8735,26.943219192499996
4.874,26.943219192499996
4.8745,20.2472712275
4.875,20.2472712275
4.8755,26.6243645275
4.876,26.6243645275
4.8765,26.6243645275
4.877,26.6243645275
4.8775,26.6243645275
4.878,26.6243645275
4.8785,26.6243645275
4.879,26.6243645275
4.8795,26.6243645275
4.88,26.6243645275
4.8805,26.6243645275
4.881,26.6243645275
4.8815,26.6243645275
4.882,26.6243645275
4.8825,26.6243645275
4.883,26.6243645275
4.8835,26.6243645275
4.884,26.6243645275
4.8845,26.6243645275
4.885,26.6243645275
4.8855,26.6243645275
4.886,26.6243645275
4.8865,26.6243645275
4.887,26.6243645275
4.8875,26.6243645275
4.888,26.6243645275
4.8885,26.6243645275
4.889,26.6243645275
4.8895,26.6243645275
4.89,26.6243645275
4.8905,26.6243645275
4.891,26.6243645275
4.8915,26.6243645275
4.892,26.6243645275
4.8925,26.6243645275
4.893,26.6243645275
4.8935,26.6243645275
4.894,26.6243645275
4.8945,26.6243645275
4.895,26.6243645275
4.8955,26.6243645275
4.896,26.6243645275
4.8965,26.6243645275
4.897,26.6243645275
4.8975,26.6243645275
4.898,26.6243645275
4.8985,26.6243645275
4.899,26.6243645275
4.8995,26.6243645275
4.9,26.6243645275
4.9005,26.6243645275
4.901,26.6243645275
4.9015,26.6243645275
4.902,26.6243645275
4.9025,26.6243645275
4.903,26.6243645275
4.9035,26.6243645275
4.904,26.6243645275
4.9045,26.6243645275
4.905,26.6243645275
4.9055,26.6243645275
4.906,26.6243645275
4.9065,26.6243645275
4.907,26.6243645275
4.9075,26.6243645275
4.908,26.6243645275
4.9085,26.6243645275
4.909,26.6243645275
4.9095,26.6243645275
4.91,26.6243645275
4.9105,26.6243645275
4.911,26.6243645275
4.9115,26.6243645275
4.912,26.6243645275
4.9125,26.6243645275
4.913,26.6243645275
4.9135,26.6243645275
4.914,26.6243645275
4.9145,26.6243645275
4.915,26.6243645275
4.9155,26.6243645275
4.916,26.6243645275
4.9165,19.928416562499997
4.917,19.928416562499997
4.9175,19.928416562499997
4.918,19.928416562499997
4.9185,19.928416562499997
4.919,19.928416562499997
4.9195,26.6243645275
4.92,26.6243645275
4.9205,26.6243645275
4.921,26.6243645275
4.9215,26.6243645275
4.922,26.6243645275
4.9225,26.6243645275
4.923,26.6243645275
4.9235,26.6243645275
4.924,26.6243645275
4.9245,26.6243645275
4.925,26.6243645275
4.9255,26.6243645275
4.926,26.6243645275
4.9265,26.6243645275
4.927,26.6243645275
4.9275,26.6243645275
4.928,26.6243645275
4.9285,26.6243645275
4.929,26.6243645275
4.9295,26.6243645275
4.93,26.6243645275
4.9305,26.6243645275
4.931,26.6243645275
4.9315,26.6243645275
4.932,26.6243645275
4.9325,19.928416562499997
4.933,26.6243645275
4.9335,19.928416562499997
4.934,19.928416562499997
4.9345,19.928416562499997
4.935,19.928416562499997
4.9355,26.6243645275
4.936,19.928416562499997
