Step,Time_fs,Kinetic_au,Temperature_K,Potential_au,Conserved_au
65,32.5,1.964424911,503.094553555,-3451.284573916,-3448.933090953
66,33.0,2.064584407,528.745672478,-3451.392447381,-3448.939011047
67,33.5,2.174694059,556.945053272,-3451.503348655,-3448.941043177
68,34.0,2.241867118,574.148256264,-3451.572976927,-3448.94108432
69,34.5,2.250095269,576.255508032,-3451.593674106,-3448.944953115
70,35.0,2.163045797,553.961901783,-3451.528509178,-3448.960217784
71,35.5,1.978969056,506.819348637,-3451.341487615,-3448.945128927
72,36.0,1.90680274,488.337359161,-3451.273368761,-3448.938605895
73,36.5,2.013558487,515.67779572,-3451.410775011,-3448.960712582
74,37.0,2.109722417,540.305639371,-3451.502418955,-3448.955123382
75,37.5,2.139002075,547.804239328,-3451.533115736,-3448.953788704
76,38.0,2.111722268,540.817806725,-3451.516110255,-3448.952281868
77,38.5,2.054558207,526.177935485,-3451.462780158,-3448.948859633
78,39.0,1.995454236,511.041248099,-3451.415085163,-3448.946827083
79,39.5,1.971272394,504.848212696,-3451.399193392,-3448.947740281
80,40.0,1.963051406,502.742795177,-3451.40433982,-3448.951402868
81,40.5,1.939886509,496.810202296,-3451.395372604,-3448.952572709
82,41.0,1.895430103,485.424795968,-3451.359377177,-3448.950803556
83,41.5,1.864936162,477.615214924,-3451.330497901,-3448.947992125
84,42.0,1.883803644,482.447228289,-3451.36254848,-3448.949942887
85,42.5,1.94908055,499.164821035,-3451.434110769,-3448.953236341
86,43.0,1.997865777,511.658850177,-3451.491488671,-3448.95384826
87,43.5,2.017525135,516.693665045,-3451.522131114,-3448.953768005
88,44.0,2.013946897,515.77726881,-3451.528107539,-3448.954403244
89,44.5,1.992222183,510.213510505,-3451.512314101,-3448.950823055
90,45.0,2.001267323,512.529995443,-3451.523786917,-3448.951581997
91,45.5,2.02076134,517.522466078,-3451.552717749,-3448.956658444
92,46.0,2.022085501,517.861587362,-3451.55234446,-3448.951492927
